"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2008","Austria","Ukraine","Total","Total","Asylum applicant","Person","140",""
"2008","Austria","Afghanistan","Total","Total","Asylum applicant","Person","1,345",""
"2008","Austria","Iraq","Total","Total","Asylum applicant","Person","500",""
"2008","Austria","Libya","Total","Total","Asylum applicant","Person","10",""
"2008","Austria","Syria","Total","Total","Asylum applicant","Person","130",""
"2008","Austria","Yemen","Total","Total","Asylum applicant","Person","5",""
"2008","Belgium","Ukraine","Total","Total","Asylum applicant","Person","65",""
"2008","Belgium","Afghanistan","Total","Total","Asylum applicant","Person","1,045",""
"2008","Belgium","Iraq","Total","Total","Asylum applicant","Person","1,180",""
"2008","Belgium","Libya","Total","Total","Asylum applicant","Person","20",""
"2008","Belgium","Syria","Total","Total","Asylum applicant","Person","355",""
"2008","Belgium","Yemen","Total","Total","Asylum applicant","Person","15",""
"2008","Bulgaria","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Bulgaria","Afghanistan","Total","Total","Asylum applicant","Person","55",""
"2008","Bulgaria","Iraq","Total","Total","Asylum applicant","Person","350",""
"2008","Bulgaria","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Bulgaria","Syria","Total","Total","Asylum applicant","Person","20",""
"2008","Bulgaria","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Switzerland","Ukraine","Total","Total","Asylum applicant","Person","30",""
"2008","Switzerland","Afghanistan","Total","Total","Asylum applicant","Person","405",""
"2008","Switzerland","Iraq","Total","Total","Asylum applicant","Person","1,440",""
"2008","Switzerland","Libya","Total","Total","Asylum applicant","Person","30",""
"2008","Switzerland","Syria","Total","Total","Asylum applicant","Person","390",""
"2008","Switzerland","Yemen","Total","Total","Asylum applicant","Person","45",""
"2008","Cyprus","Ukraine","Total","Total","Asylum applicant","Person","15",""
"2008","Cyprus","Afghanistan","Total","Total","Asylum applicant","Person","35",""
"2008","Cyprus","Iraq","Total","Total","Asylum applicant","Person","155",""
"2008","Cyprus","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Cyprus","Syria","Total","Total","Asylum applicant","Person","965",""
"2008","Cyprus","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Czech Republic","Ukraine","Total","Total","Asylum applicant","Person","320",""
"2008","Czech Republic","Afghanistan","Total","Total","Asylum applicant","Person","35",""
"2008","Czech Republic","Iraq","Total","Total","Asylum applicant","Person","30",""
"2008","Czech Republic","Libya","Total","Total","Asylum applicant","Person","5",""
"2008","Czech Republic","Syria","Total","Total","Asylum applicant","Person","35",""
"2008","Czech Republic","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Germany (until 1990 former territory of the FRG)","Ukraine","Total","Total","Asylum applicant","Person","45",""
"2008","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Asylum applicant","Person","815",""
"2008","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Asylum applicant","Person","8,155",""
"2008","Germany (until 1990 former territory of the FRG)","Libya","Total","Total","Asylum applicant","Person","40",""
"2008","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Asylum applicant","Person","890",""
"2008","Germany (until 1990 former territory of the FRG)","Yemen","Total","Total","Asylum applicant","Person","15",""
"2008","Denmark","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2008","Denmark","Afghanistan","Total","Total","Asylum applicant","Person","415",""
"2008","Denmark","Iraq","Total","Total","Asylum applicant","Person","560",""
"2008","Denmark","Libya","Total","Total","Asylum applicant","Person","5",""
"2008","Denmark","Syria","Total","Total","Asylum applicant","Person","105",""
"2008","Denmark","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Estonia","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Estonia","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2008","Estonia","Iraq","Total","Total","Asylum applicant","Person","0",""
"2008","Estonia","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Estonia","Syria","Total","Total","Asylum applicant","Person","0",""
"2008","Estonia","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Greece","Ukraine","Total","Total","Asylum applicant","Person","55",""
"2008","Greece","Afghanistan","Total","Total","Asylum applicant","Person","2,285",""
"2008","Greece","Iraq","Total","Total","Asylum applicant","Person","1,760",""
"2008","Greece","Libya","Total","Total","Asylum applicant","Person","5",""
"2008","Greece","Syria","Total","Total","Asylum applicant","Person","810",""
"2008","Greece","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Spain","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2008","Spain","Afghanistan","Total","Total","Asylum applicant","Person","50",""
"2008","Spain","Iraq","Total","Total","Asylum applicant","Person","60",""
"2008","Spain","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Spain","Syria","Total","Total","Asylum applicant","Person","95",""
"2008","Spain","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","European Union (28 countries)","Ukraine","Total","Total","Asylum applicant","Person","925","d"
"2008","European Union (28 countries)","Afghanistan","Total","Total","Asylum applicant","Person","10,150","d"
"2008","European Union (28 countries)","Iraq","Total","Total","Asylum applicant","Person","27,655","d"
"2008","European Union (28 countries)","Libya","Total","Total","Asylum applicant","Person","825","d"
"2008","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","4,220","d"
"2008","European Union (28 countries)","Yemen","Total","Total","Asylum applicant","Person","180","d"
"2008","Finland","Ukraine","Total","Total","Asylum applicant","Person","10",""
"2008","Finland","Afghanistan","Total","Total","Asylum applicant","Person","230",""
"2008","Finland","Iraq","Total","Total","Asylum applicant","Person","1,195",""
"2008","Finland","Libya","Total","Total","Asylum applicant","Person","5",""
"2008","Finland","Syria","Total","Total","Asylum applicant","Person","20",""
"2008","Finland","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","France","Ukraine","Total","Total","Asylum applicant","Person","75",""
"2008","France","Afghanistan","Total","Total","Asylum applicant","Person","280",""
"2008","France","Iraq","Total","Total","Asylum applicant","Person","650",""
"2008","France","Libya","Total","Total","Asylum applicant","Person","5",""
"2008","France","Syria","Total","Total","Asylum applicant","Person","35",""
"2008","France","Yemen","Total","Total","Asylum applicant","Person","5",""
"2008","Croatia","Ukraine","Total","Total","Asylum applicant","Person",":",""
"2008","Croatia","Afghanistan","Total","Total","Asylum applicant","Person",":",""
"2008","Croatia","Iraq","Total","Total","Asylum applicant","Person",":",""
"2008","Croatia","Libya","Total","Total","Asylum applicant","Person",":",""
"2008","Croatia","Syria","Total","Total","Asylum applicant","Person",":",""
"2008","Croatia","Yemen","Total","Total","Asylum applicant","Person",":",""
"2008","Hungary","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Hungary","Afghanistan","Total","Total","Asylum applicant","Person","110",""
"2008","Hungary","Iraq","Total","Total","Asylum applicant","Person","130",""
"2008","Hungary","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Hungary","Syria","Total","Total","Asylum applicant","Person","20",""
"2008","Hungary","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Ireland","Ukraine","Total","Total","Asylum applicant","Person","20",""
"2008","Ireland","Afghanistan","Total","Total","Asylum applicant","Person","80",""
"2008","Ireland","Iraq","Total","Total","Asylum applicant","Person","205",""
"2008","Ireland","Libya","Total","Total","Asylum applicant","Person","5",""
"2008","Ireland","Syria","Total","Total","Asylum applicant","Person","15",""
"2008","Ireland","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Iceland","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Iceland","Afghanistan","Total","Total","Asylum applicant","Person","5",""
"2008","Iceland","Iraq","Total","Total","Asylum applicant","Person","5",""
"2008","Iceland","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Iceland","Syria","Total","Total","Asylum applicant","Person","0",""
"2008","Iceland","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Italy","Ukraine","Total","Total","Asylum applicant","Person","15",""
"2008","Italy","Afghanistan","Total","Total","Asylum applicant","Person","1,730",""
"2008","Italy","Iraq","Total","Total","Asylum applicant","Person","755",""
"2008","Italy","Libya","Total","Total","Asylum applicant","Person","5",""
"2008","Italy","Syria","Total","Total","Asylum applicant","Person","55",""
"2008","Italy","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Liechtenstein","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Liechtenstein","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2008","Liechtenstein","Iraq","Total","Total","Asylum applicant","Person","0",""
"2008","Liechtenstein","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Liechtenstein","Syria","Total","Total","Asylum applicant","Person","0",""
"2008","Liechtenstein","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Lithuania","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2008","Lithuania","Afghanistan","Total","Total","Asylum applicant","Person","15",""
"2008","Lithuania","Iraq","Total","Total","Asylum applicant","Person","5",""
"2008","Lithuania","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Lithuania","Syria","Total","Total","Asylum applicant","Person","5",""
"2008","Lithuania","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Luxembourg","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2008","Luxembourg","Afghanistan","Total","Total","Asylum applicant","Person","5",""
"2008","Luxembourg","Iraq","Total","Total","Asylum applicant","Person","30",""
"2008","Luxembourg","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Luxembourg","Syria","Total","Total","Asylum applicant","Person","0",""
"2008","Luxembourg","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Latvia","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Latvia","Afghanistan","Total","Total","Asylum applicant","Person","10",""
"2008","Latvia","Iraq","Total","Total","Asylum applicant","Person","0",""
"2008","Latvia","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Latvia","Syria","Total","Total","Asylum applicant","Person","5",""
"2008","Latvia","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Malta","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Malta","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2008","Malta","Iraq","Total","Total","Asylum applicant","Person","5",""
"2008","Malta","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Malta","Syria","Total","Total","Asylum applicant","Person","0",""
"2008","Malta","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Netherlands","Ukraine","Total","Total","Asylum applicant","Person","20",""
"2008","Netherlands","Afghanistan","Total","Total","Asylum applicant","Person","705",""
